,ORIGIN_CITY,DEST_CITY,QUARTER,Carrier,Average_Delay_Time,Accidents,Average_Price,Food_Drink,Entertainment,Seat_comfort,Stuff_Service,Value_for_Money
56,Atlanta,Phoenix,2,American Airlines,12.85934489,108,229.9006991,2,2,2,2,2
57,Atlanta,Phoenix,3,American Airlines,11.38816739,108,258.8080086,2,2,2,2,2
58,Atlanta,Phoenix,4,American Airlines,7.181137725,108,207.7521542,2,2,2,2,2
59,Austin,Charlotte,1,American Airlines,5.880073801,108,286.4015706,2,2,2,2,2
60,Austin,Charlotte,2,American Airlines,8.282608696,108,285.6309642,2,2,2,2,2
61,Austin,Charlotte,3,American Airlines,7.829971182,108,273.4464107,2,2,2,2,2
62,Austin,Charlotte,4,American Airlines,7.258700696,108,277.7087389,2,2,2,2,2
63,Austin,Chicago,1,American Airlines,9.486823856,108,274.4739739,2,2,2,2,2
64,Austin,Chicago,2,American Airlines,12.34714446,108,237.021669,2,2,2,2,2
65,Austin,Chicago,3,American Airlines,17.44399596,108,209.8528407,2,2,2,2,2
66,Austin,Chicago,4,American Airlines,13.81372549,108,244.6834062,2,2,2,2,2
67,Austin,Dallas/Fort Worth,1,American Airlines,8.051568154,108,186.861784,2,2,2,2,2
68,Austin,Dallas/Fort Worth,2,American Airlines,13.89098409,108,179.0621078,2,2,2,2,2
69,Austin,Dallas/Fort Worth,3,American Airlines,10.34971186,108,145.0516174,2,2,2,2,2
70,Austin,Dallas/Fort Worth,4,American Airlines,10.96960879,108,182.3295972,2,2,2,2,2
71,Austin,Los Angeles,1,American Airlines,11.96684492,108,290.7583103,2,2,2,2,2
72,Austin,Los Angeles,2,American Airlines,13.04717949,108,236.5228354,2,2,2,2,2
73,Austin,Los Angeles,3,American Airlines,10.70879676,108,207.883094,2,2,2,2,2
74,Austin,Los Angeles,4,American Airlines,9.606229143,108,240.8761937,2,2,2,2,2
75,Austin,Miami,1,American Airlines,5.836601307,108,228.1269097,2,2,2,2,2
76,Austin,Miami,2,American Airlines,3.685534591,108,233.5847456,2,2,2,2,2
77,Austin,Miami,3,American Airlines,4.375886525,108,194.7340503,2,2,2,2,2
78,Austin,Miami,4,American Airlines,6.185897436,108,222.5428999,2,2,2,2,2
79,Austin,New York,1,American Airlines,9.063492063,108,252.7768746,2,2,2,2,2
80,Austin,New York,2,American Airlines,8.8,108,266.1560646,2,2,2,2,2
81,Austin,New York,3,American Airlines,6.628252788,108,236.150399,2,2,2,2,2
82,Austin,New York,4,American Airlines,7.035335689,108,256.8568527,2,2,2,2,2
83,Austin,Philadelphia,1,American Airlines,8.863636364,108,290.2577479,2,2,2,2,2
84,Austin,Philadelphia,2,American Airlines,11.62734584,108,304.5510957,2,2,2,2,2
85,Austin,Philadelphia,3,American Airlines,12.42824074,108,265.0504987,2,2,2,2,2
86,Austin,Philadelphia,4,American Airlines,9.295819936,108,303.0941481,2,2,2,2,2
87,Austin,Phoenix,1,American Airlines,7.603015075,108,259.4605085,2,2,2,2,2
88,Austin,Phoenix,2,American Airlines,8.944700461,108,244.9698845,2,2,2,2,2
89,Austin,Phoenix,3,American Airlines,5.101538462,108,233.3789238,2,2,2,2,2
90,Austin,Phoenix,4,American Airlines,7.028077754,108,244.8767331,2,2,2,2,2
91,Baltimore,Charlotte,1,American Airlines,6.744630072,108,178.542983,2,2,2,2,2
92,Baltimore,Charlotte,2,American Airlines,7.690491385,108,191.9181124,2,2,2,2,2
93,Baltimore,Charlotte,3,American Airlines,9.670673077,108,176.551388,2,2,2,2,2
94,Baltimore,Charlotte,4,American Airlines,4.95269631,108,174.8924145,2,2,2,2,2
95,Baltimore,Chicago,2,American Airlines,12.96226415,108,236.4197216,2,2,2,2,2
96,Baltimore,Chicago,3,American Airlines,9.104651163,108,195.173291,2,2,2,2,2
97,Baltimore,Chicago,4,American Airlines,9.876404494,108,191.4396979,2,2,2,2,2
98,Baltimore,Dallas/Fort Worth,1,American Airlines,20.18906064,108,225.1418442,2,2,2,2,2
99,Baltimore,Dallas/Fort Worth,2,American Airlines,16.61418048,108,262.1797431,2,2,2,2,2
100,Baltimore,Dallas/Fort Worth,3,American Airlines,18.34642857,108,210.690825,2,2,2,2,2
101,Baltimore,Dallas/Fort Worth,4,American Airlines,8.625884732,108,225.2854251,2,2,2,2,2
102,Baltimore,Miami,1,American Airlines,12.60501982,108,177.1987551,2,2,2,2,2
103,Baltimore,Miami,2,American Airlines,8.74205379,108,177.467818,2,2,2,2,2
104,Baltimore,Miami,3,American Airlines,12.8427673,108,155.5208667,2,2,2,2,2
105,Baltimore,Miami,4,American Airlines,10.34289617,108,168.3628923,2,2,2,2,2
106,Baltimore,Philadelphia,1,American Airlines,9,108,138.0257447,2,2,2,2,2
107,Baltimore,Phoenix,1,American Airlines,9.733153639,108,291.4511545,2,2,2,2,2
108,Baltimore,Phoenix,2,American Airlines,10.50927835,108,290.8194719,2,2,2,2,2
109,Baltimore,Phoenix,3,American Airlines,14.5041876,108,296.7423191,2,2,2,2,2
110,Baltimore,Phoenix,4,American Airlines,8.23268206,108,294.7176788,2,2,2,2,2
111,Birmingham,Dallas/Fort Worth,1,American Airlines,24.33532934,108,234.5792199,2,2,2,2,2
112,Birmingham,Dallas/Fort Worth,2,American Airlines,11.36363636,108,260.0106405,2,2,2,2,2
113,Birmingham,Phoenix,1,American Airlines,0,108,368.7620574,2,2,2,2,2
114,Boise,Dallas/Fort Worth,1,American Airlines,27.46666667,108,292.869,2,2,2,2,2
115,Boise,Dallas/Fort Worth,2,American Airlines,10.33613445,108,300.3325706,2,2,2,2,2
116,Boise,Dallas/Fort Worth,3,American Airlines,6.20441989,108,275.2290678,2,2,2,2,2
117,Boise,Dallas/Fort Worth,4,American Airlines,5.06043956,108,284.4335383,2,2,2,2,2
118,Boise,Phoenix,1,American Airlines,5.772727273,108,219.23234,2,2,2,2,2
119,Boise,Phoenix,2,American Airlines,6.923913043,108,184.6083313,2,2,2,2,2
120,Boise,Phoenix,3,American Airlines,7.984899329,108,208.7317857,2,2,2,2,2
121,Boise,Phoenix,4,American Airlines,6.275922671,108,210.2194944,2,2,2,2,2
122,Boston,Charlotte,1,American Airlines,9.213394616,108,198.4127333,2,2,2,2,2
123,Boston,Charlotte,2,American Airlines,8.235076598,108,227.423143,2,2,2,2,2
124,Boston,Charlotte,3,American Airlines,9.995399414,108,205.0287433,2,2,2,2,2
125,Boston,Charlotte,4,American Airlines,7.629122056,108,205.1828833,2,2,2,2,2
126,Boston,Chicago,1,American Airlines,11.0591716,108,208.6460301,2,2,2,2,2
127,Boston,Chicago,2,American Airlines,11.27966102,108,253.7111537,2,2,2,2,2
128,Boston,Chicago,3,American Airlines,12.0752608,108,208.1712062,2,2,2,2,2
129,Boston,Chicago,4,American Airlines,7.241894198,108,200.8273038,2,2,2,2,2
130,Boston,Dallas/Fort Worth,1,American Airlines,9.360613811,108,289.817697,2,2,2,2,2
131,Boston,Dallas/Fort Worth,2,American Airlines,7.623262995,108,318.9727664,2,2,2,2,2
132,Boston,Dallas/Fort Worth,3,American Airlines,9.767430522,108,274.7746224,2,2,2,2,2
133,Boston,Dallas/Fort Worth,4,American Airlines,8.411636759,108,258.1141498,2,2,2,2,2
134,Boston,Houston,1,American Airlines,2,108,265.6928103,2,2,2,2,2
135,Boston,Los Angeles,1,American Airlines,9.023326572,108,361.4754973,2,2,2,2,2
136,Boston,Los Angeles,2,American Airlines,9.702390767,108,386.1654069,2,2,2,2,2
137,Boston,Los Angeles,3,American Airlines,10.25407925,108,349.8728319,2,2,2,2,2
138,Boston,Los Angeles,4,American Airlines,8.723817568,108,337.0950749,2,2,2,2,2
139,Boston,Miami,1,American Airlines,9.961685824,108,265.5521022,2,2,2,2,2
140,Boston,Miami,2,American Airlines,11.52360965,108,295.3782782,2,2,2,2,2
141,Boston,Miami,3,American Airlines,9.90273896,108,226.8053071,2,2,2,2,2
142,Boston,Miami,4,American Airlines,10.14666667,108,241.6011468,2,2,2,2,2
143,Boston,New York,1,American Airlines,11.04117651,108,181.0807377,2,2,2,2,2
144,Boston,New York,2,American Airlines,15.96682053,108,177.7607026,2,2,2,2,2
145,Boston,New York,3,American Airlines,15.19540771,108,209.3374603,2,2,2,2,2
146,Boston,New York,4,American Airlines,10.74975392,108,151.6037797,2,2,2,2,2
147,Boston,Philadelphia,1,American Airlines,9.988670244,108,192.7674623,2,2,2,2,2
148,Boston,Philadelphia,2,American Airlines,9.526501767,108,222.6955523,2,2,2,2,2
149,Boston,Philadelphia,3,American Airlines,12.03969055,108,196.930865,2,2,2,2,2
150,Boston,Philadelphia,4,American Airlines,8.407963937,108,201.8755583,2,2,2,2,2
151,Boston,Phoenix,1,American Airlines,7.734917733,108,303.6812745,2,2,2,2,2
152,Boston,Phoenix,2,American Airlines,7.718508997,108,328.487392,2,2,2,2,2
153,Boston,Phoenix,3,American Airlines,9.217622081,108,295.0024724,2,2,2,2,2
154,Boston,Phoenix,4,American Airlines,8.095631641,108,312.6127529,2,2,2,2,2
155,Boston,Pittsburgh,1,American Airlines,0,108,187.7999585,2,2,2,2,2
156,Boston,Washington,1,American Airlines,5.301683211,108,207.0165525,2,2,2,2,2
157,Boston,Washington,2,American Airlines,8.436108256,108,225.6096104,2,2,2,2,2
158,Boston,Washington,3,American Airlines,8.366657733,108,216.6154622,2,2,2,2,2
159,Boston,Washington,4,American Airlines,5.344970414,108,201.4292707,2,2,2,2,2
160,Bozeman,Chicago,4,American Airlines,2,108,5.5,2,2,2,2,2
161,Bozeman,Dallas/Fort Worth,2,American Airlines,27.24137931,108,302.3117692,2,2,2,2,2
162,Bozeman,Dallas/Fort Worth,4,American Airlines,37.5,108,291.4862857,2,2,2,2,2
163,Buffalo,Charlotte,1,American Airlines,8.026455026,108,243.6051708,2,2,2,2,2
164,Buffalo,Charlotte,2,American Airlines,5.738461538,108,248.9656685,2,2,2,2,2
165,Buffalo,Charlotte,3,American Airlines,7.095238095,108,256.9152239,2,2,2,2,2
166,Buffalo,Charlotte,4,American Airlines,5.941573034,108,218.9926891,2,2,2,2,2
167,Buffalo,Philadelphia,1,American Airlines,5.5,108,237.3242255,2,2,2,2,2
168,Charleston,Charlotte,1,American Airlines,5.392982456,108,217.4204192,2,2,2,2,2
169,Charleston,Charlotte,2,American Airlines,7.103846154,108,209.6027607,2,2,2,2,2
170,Charleston,Charlotte,3,American Airlines,5.23566879,108,235.7403125,2,2,2,2,2
171,Charleston,Charlotte,4,American Airlines,9.298561151,108,208.0253205,2,2,2,2,2
172,Charleston,Dallas/Fort Worth,2,American Airlines,19.86060606,108,259.3787961,2,2,2,2,2
173,Charleston,Dallas/Fort Worth,3,American Airlines,12.33516484,108,258.732962,2,2,2,2,2
174,Charleston,Dallas/Fort Worth,4,American Airlines,14.03825137,108,251.1763031,2,2,2,2,2
175,Charleston,Philadelphia,1,American Airlines,9.5,108,280.1074261,2,2,2,2,2
176,Charleston,Philadelphia,2,American Airlines,11.03846154,108,292.7565693,2,2,2,2,2
177,Charleston,Philadelphia,3,American Airlines,12.44444444,108,250.0030397,2,2,2,2,2
178,Charleston,Philadelphia,4,American Airlines,3.3,108,273.4803217,2,2,2,2,2
179,Charlotte,Albany,1,American Airlines,8.273833671,108,254.9213834,2,2,2,2,2
180,Charlotte,Albany,2,American Airlines,10.53130288,108,266.1665944,2,2,2,2,2
181,Charlotte,Albany,3,American Airlines,10.51867816,108,266.530035,2,2,2,2,2
182,Charlotte,Albany,4,American Airlines,4.851150203,108,245.1883324,2,2,2,2,2
183,Charlotte,Albuquerque,2,American Airlines,13.48387097,108,253.361487,2,2,2,2,2
184,Charlotte,Albuquerque,3,American Airlines,15.16176471,108,289.6556957,2,2,2,2,2
185,Charlotte,Atlanta,1,American Airlines,6.726878613,108,218.3660081,2,2,2,2,2
186,Charlotte,Atlanta,2,American Airlines,12.34217335,108,214.6365341,2,2,2,2,2
187,Charlotte,Atlanta,3,American Airlines,10.78072763,108,260.8001028,2,2,2,2,2
188,Charlotte,Atlanta,4,American Airlines,6.491326531,108,205.7212007,2,2,2,2,2
189,Charlotte,Austin,1,American Airlines,6.783486239,108,291.5123657,2,2,2,2,2
190,Charlotte,Austin,2,American Airlines,7.474295191,108,293.725368,2,2,2,2,2
191,Charlotte,Austin,3,American Airlines,11.34820144,108,284.3463867,2,2,2,2,2
192,Charlotte,Austin,4,American Airlines,8.637731481,108,277.6262635,2,2,2,2,2
193,Charlotte,Baltimore,1,American Airlines,7.938985737,108,197.5719494,2,2,2,2,2
194,Charlotte,Baltimore,2,American Airlines,10.33800127,108,216.4300279,2,2,2,2,2
195,Charlotte,Baltimore,3,American Airlines,13.6842864,108,192.8808659,2,2,2,2,2
196,Charlotte,Baltimore,4,American Airlines,6.743153919,108,183.6875829,2,2,2,2,2
197,Charlotte,Birmingham,1,American Airlines,11,108,293.96041,2,2,2,2,2
198,Charlotte,Boston,1,American Airlines,8.10805501,108,212.1871466,2,2,2,2,2
199,Charlotte,Boston,2,American Airlines,13.59482303,108,231.0982637,2,2,2,2,2
200,Charlotte,Boston,3,American Airlines,13.80740433,108,215.4620337,2,2,2,2,2
201,Charlotte,Boston,4,American Airlines,7.768245839,108,207.3053887,2,2,2,2,2
202,Charlotte,Buffalo,1,American Airlines,6.224168126,108,256.9630027,2,2,2,2,2
203,Charlotte,Buffalo,2,American Airlines,8.161064426,108,264.2344307,2,2,2,2,2
204,Charlotte,Buffalo,3,American Airlines,11.67133621,108,268.973617,2,2,2,2,2
